epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4405,2.43212,2.68076,2.50867,0.1747,0.21974,0.08824,0.05359,0.01051,3.73243,3.0702,3.66526,0.14124,0.00325203,0.00325203,0.0707317
2,31.1328,2.10768,1.92147,2.09696,0.08743,0.00074,0.05882,0.00014,3e-05,3.29223,inf,3.8249,0.10718,0.00652017,0.00652017,0.0406665
3,41.4211,2.0197,1.79195,2.02948,0.0801,0.31579,0.2,0.16469,0.07296,2.2287,3.44785,2.38172,0.1255,0.00972231,0.00972231,0.0105353
4,51.4373,1.93663,1.73982,1.96407,0.06877,0.05664,0.10588,0.01312,0.0028,3.36085,5.09784,4.52224,0.22139,0.009703,0.009703,0.009703
5,64.0351,1.90468,1.81192,1.99045,0.06544,0.1584,0.05882,0.02579,0.01256,2.8825,22.2659,3.73447,0.0134,0.009604,0.009604,0.009604
6,73.7937,1.89814,1.58448,1.96349,0.07408,0.41048,0.55294,0.38345,0.14414,2.14553,2.6469,2.46172,0.03746,0.009505,0.009505,0.009505
7,83.8951,1.77697,1.49468,1.85204,0.06516,0.7117,0.77647,0.72727,0.38999,1.52686,1.37948,1.89889,0.01932,0.009406,0.009406,0.009406
8,93.8583,1.7396,1.48294,1.85699,0.06285,0.67691,0.74706,0.73347,0.32363,1.64907,1.84871,1.95132,0.0293,0.009307,0.009307,0.009307
9,103.906,1.77267,1.45236,1.85361,0.0595,0.5886,0.66487,0.64775,0.32112,1.57487,1.84398,1.95413,0.02195,0.009208,0.009208,0.009208
10,113.76,1.68441,1.42286,1.81864,0.05777,0.71364,0.78824,0.76753,0.41821,1.57595,1.54288,1.93584,0.01432,0.009109,0.009109,0.009109
11,123.691,1.694,1.41144,1.8448,0.06292,0.80466,0.78235,0.77205,0.42101,1.49199,1.31448,1.87903,0.02028,0.00901,0.00901,0.00901
12,133.811,1.68055,1.38013,1.80925,0.0585,0.8147,0.78824,0.81266,0.46513,1.447,1.10496,1.78403,0.02234,0.008911,0.008911,0.008911
13,143.856,1.67997,1.33755,1.75044,0.05405,0.73045,0.7,0.7309,0.2869,1.96349,1.5089,2.23809,0.0402,0.008812,0.008812,0.008812
14,153.754,1.70469,1.43878,1.81574,0.05937,0.73377,0.74577,0.7519,0.37683,1.61395,1.3332,2.00922,0.01641,0.008713,0.008713,0.008713
15,163.604,1.64467,1.30483,1.74685,0.05401,0.77558,0.83529,0.82213,0.49259,1.45422,1.09995,1.82179,0.01463,0.008614,0.008614,0.008614
16,173.549,1.55299,1.20228,1.6902,0.04789,0.8221,0.82353,0.83952,0.4865,1.4557,1.01002,1.75658,0.02682,0.008515,0.008515,0.008515
17,183.416,1.58461,1.23683,1.70193,0.05317,0.75908,0.74118,0.77771,0.43212,1.47568,1.23386,1.78197,0.01542,0.008416,0.008416,0.008416
18,193.258,1.55787,1.17708,1.67177,0.05055,0.82516,0.84118,0.84438,0.49074,1.37753,0.98184,1.70557,0.01736,0.008317,0.008317,0.008317
19,203.175,1.5316,1.19941,1.72249,0.04654,0.81069,0.85882,0.85832,0.42212,1.64567,1.05169,1.8523,0.04341,0.008218,0.008218,0.008218
20,213.075,1.50959,1.18243,1.69678,0.04603,0.7391,0.78235,0.78541,0.42887,1.52732,1.10568,1.82604,0.02852,0.008119,0.008119,0.008119
21,222.988,1.51748,1.14368,1.69538,0.04753,0.8185,0.8754,0.85927,0.51903,1.35383,0.9635,1.74319,0.01531,0.00802,0.00802,0.00802
22,233.075,1.46083,1.15682,1.69722,0.04118,0.7734,0.87647,0.85601,0.51343,1.28182,0.98246,1.70775,0.01591,0.007921,0.007921,0.007921
23,243.019,1.47776,1.15314,1.6842,0.04212,0.83434,0.85915,0.88644,0.51707,1.40309,0.9935,1.77334,0.01746,0.007822,0.007822,0.007822
24,252.825,1.43124,1.10846,1.65506,0.04032,0.77101,0.85294,0.82823,0.48734,1.38839,0.97976,1.74634,0.02136,0.007723,0.007723,0.007723
25,262.486,1.44717,1.11742,1.62551,0.03573,0.71796,0.78824,0.76482,0.41401,1.53953,1.26903,1.83069,0.02862,0.007624,0.007624,0.007624
26,274.35,1.44927,1.10466,1.62716,0.03592,0.77531,0.85882,0.84237,0.49462,1.35082,0.9824,1.69654,0.02353,0.007525,0.007525,0.007525
27,283.965,1.40708,1.07503,1.6118,0.03607,0.81008,0.85307,0.8645,0.52666,1.29888,0.90794,1.63501,0.02205,0.007426,0.007426,0.007426
28,293.78,1.46071,1.1161,1.65187,0.03513,0.78365,0.87356,0.84048,0.501,1.36061,0.96157,1.72306,0.02211,0.007327,0.007327,0.007327
29,303.237,1.42062,1.0588,1.61664,0.0352,0.80054,0.88235,0.87898,0.48354,1.50698,0.97069,1.74381,0.03232,0.007228,0.007228,0.007228
30,312.786,1.34609,1.02054,1.58965,0.0359,0.82923,0.92353,0.89073,0.56326,1.31014,0.8291,1.65773,0.01856,0.007129,0.007129,0.007129
31,322.567,1.40023,1.05782,1.59844,0.03624,0.79116,0.87647,0.86551,0.53994,1.32017,0.84636,1.66966,0.01972,0.00703,0.00703,0.00703
32,332.464,1.38599,1.01341,1.59673,0.03406,0.79616,0.85882,0.83394,0.54104,1.25937,0.88422,1.66447,0.01809,0.006931,0.006931,0.006931
33,341.909,1.34368,1.0686,1.631,0.02798,0.84278,0.85882,0.87625,0.52698,1.35132,0.8619,1.71682,0.02237,0.006832,0.006832,0.006832
34,351.366,1.38123,1.0525,1.57952,0.02738,0.81863,0.92927,0.85624,0.56036,1.22817,0.8444,1.60909,0.01414,0.006733,0.006733,0.006733
35,360.805,1.39841,1.02963,1.61101,0.0316,0.82663,0.92557,0.89421,0.53917,1.29424,0.84171,1.61047,0.02375,0.006634,0.006634,0.006634
36,370.332,1.35669,1.02716,1.57949,0.02569,0.76413,0.87662,0.86981,0.51034,1.41174,0.94173,1.71446,0.02786,0.006535,0.006535,0.006535
37,383.91,1.32409,0.97553,1.58455,0.02789,0.83298,0.90945,0.90917,0.59503,1.19903,0.78694,1.584,0.02325,0.006436,0.006436,0.006436
38,393.723,1.29336,0.96909,1.5354,0.0263,0.82945,0.87647,0.88118,0.57523,1.21079,0.85458,1.63056,0.01345,0.006337,0.006337,0.006337
39,403.108,1.34756,0.95077,1.55398,0.0292,0.75625,0.86471,0.84742,0.54449,1.23066,0.94963,1.65726,0.0111,0.006238,0.006238,0.006238
40,412.852,1.28976,0.95713,1.54943,0.0236,0.82432,0.91086,0.90209,0.59026,1.22792,0.77321,1.65917,0.02164,0.006139,0.006139,0.006139
41,422.381,1.27406,0.94634,1.56823,0.02418,0.82427,0.88292,0.8862,0.56334,1.20704,0.83842,1.6068,0.0224,0.00604,0.00604,0.00604
42,432.184,1.29715,0.95931,1.56569,0.0231,0.82194,0.91765,0.89652,0.56013,1.21686,0.79663,1.64325,0.01547,0.005941,0.005941,0.005941
43,442.907,1.27325,0.97421,1.54274,0.02299,0.83177,0.88235,0.88967,0.59769,1.15367,0.7932,1.59169,0.01585,0.005842,0.005842,0.005842
